"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1","1","100nF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"C2","1","100uF","","","","Capacitor_SMD:C_0805_2012Metric","~"
"D1,D3,D4,D6,D8,D10,D12,D14,D16","9","LED","","","","LED_SMD:LED_1206_3216Metric","~"
"D2,D5,D7,D9,D11,D13,D15,D17","8","D_Small","","","","Diode_SMD:D_1206_3216Metric","~"
"H1,H2,H3,H4","4","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_2.5mm_Pad_Via","~"
"J1","1","POWER","","","","Connector_JST:JST_NV_B02P-NV_1x02_P5.00mm_Vertical","~"
"J2","1","INPUTS","","","","Connector_PinHeader_2.54mm:PinHeader_1x08_P2.54mm_Vertical","~"
"J3,J4,J5,J6,J7,J8,J9,J10","8","NO CO NO","","","","Connector_JST:JST_NV_B03P-NV_1x03_P5.00mm_Vertical","~"
"K1,K2,K3,K4,K5,K6,K7,K8","8","G5LE-1","","","","Relay_THT:Relay_SPDT_Omron-G5LE-1","http://www.omron.com/ecb/products/pdf/en-g5le.pdf"
"R1,R18,R19,R20,R21,R22,R23,R24,R25","9","680E","","","","Resistor_SMD:R_0805_2012Metric","~"
"R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17","16","10K","","","","Resistor_SMD:R_0805_2012Metric","~"
"SW1","1","SW_SPST","","","","Button_Switch_SMD:SW_DIP_SPSTx01_Slide_6.7x4.1mm_W6.73mm_P2.54mm_LowProfile_JPin","~"
"U1","1","ULN2803A","","","","Package_DIP:DIP-18_W7.62mm_LongPads","http://www.ti.com/lit/ds/symlink/uln2803a.pdf"
